feature,mean,std
egoDistToConflict,9.138800406997161,3.9634865691123746
egoClosingSpeed,2.928296184154052,2.1896273278582314
egoApproachAlignment,0.8866793838933604,0.3766060907530191
egoCvTTC,4.788779121718893,3.348794628744702
leadPresent,0.6780948946473649,0.46720982423078633
leadSpeed,5.105688626270502,3.738538430956491
leadArcDistance,14.887907454845815,17.21530068473773
leadConflictTTC,2.040909165302249,2.2886293821726684
signedTTCGap,-1.4745657054281647,3.8103080239251748
conflictOccupied,0.10894595847715213,0.31157340532321093
